tourney_name,Date,tourney_level,Court,Surface,Round,Best of,winner_name,loser_name,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL
Barcelona Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Alcaraz C.,Quinn E.,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.03,15.0,1.03,19.73
Barcelona Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Khachanov K.,Norrie C.,6.0,7.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.53,2.5,1.63,2.42
Barcelona Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Davidovich Fokina A.,Wawrinka S.,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.25,4.57
BMW Open,2025-04-16,ATP500,Outdoor,Clay,2nd Round,3.0,Darderi L.,Kecmanovic M.,2.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.73,2.1,1.81,2.12
BMW Open,2025-04-16,ATP500,Outdoor,Clay,2nd Round,3.0,Shelton B.,Van De Zandschulp B.,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.83,2.1
BMW Open,2025-04-16,ATP500,Outdoor,Clay,2nd Round,3.0,Zverev A.,Altmaier D.,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.13,6.0,1.16,6.17
BMW Open,2025-04-16,ATP500,Outdoor,Clay,2nd Round,3.0,Griekspoor T.,Hanfmann Y.,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.38,3.33
Barcelona Open,2025-04-16,ATP500,Outdoor,Clay,2nd Round,3.0,Fils A.,Martinez P.,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.2,4.5,1.23,4.7
Barcelona Open,2025-04-16,ATP500,Outdoor,Clay,2nd Round,3.0,Rune H.,Baez S.,4.0,6.0,6.0,1.0,6.0,2.0,,,,,2.0,1.0,Completed,1.67,2.2,1.74,2.22
Barcelona Open,2025-04-16,ATP500,Outdoor,Clay,2nd Round,3.0,Tsitsipas S.,Korda S.,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.31,3.83
